date | value

2011-01-03 | 3
2011-01-03 | 0
2011-01-03 | 1.5
2011-01-03 | 999
2011-01-03 | 1000
2011-01-03 | -1
2011-01-03 | 1001

2011-01-03 | 2147483648

2011-01-03 | 1

2011-01-04 | 2

2011-01-09 | 1

2009-01-02 | 1

2022-03-29 | 1

2012-02-29 | 2

2011-02-29 | 2

2011-13-01 | 2
2011-00-01 | 2

2011-04-31 | 2

2011-01-32 | 2
2011-01-00 | 2

2001-42-42 | 1

2001-42-42
2011/01/03 | 2
11-01-03 | 2
20110103 | 2
2011-1-03 | 2
2011-01-3 | 2

2011-01-03

2011-01-03 |

| 3

2011-01-03 | abc

2011-01-03 | 3abc

2011-01-03 | 3.14.15

2011-01-03 | +3

2011-01-03 | 0.5

2011-01-03 | 0003

bad input
